Astronaut,Selection Year, Group, # Flights,Status,Military or civilian,Gender,Date of birth,Missions flown,Cumulative hours of space flight time
"Kelly, Scott J.",1996,16,3,Current,Military,Male,2/21/1964,"STS-103, STS-118 and Soyuz TMA-M",4320
"Lockhart, Paul S.",1996,16,2,Former,Military,Male,4/28/1956,STS-111 and STS-113,624
"Loria, Christopher J.",1996,16,0,Former,Military,Male,7/9/1960,,0
"Magnus, Sandra H.",1996,16,2,Current,Civilian,Female,10/30/1964,STS-112 and STS-126, 
"Massimino, Michael J.",1996,16,2,Current,Civilian,Male,8/19/1962,STS-109 and STS-125,571
"Mastracchio, Richard A.",1996,16,3,Current,Civilian,Male,2/11/1960,"STS-106, STS-118 and STS-131",960
"McCool, William C.",1996,16,1,Deceased,Military,Male,9/23/1961,STS-107,382
"Morin, Lee M.",1996,16,1,Management,Military,Male,9/9/1952,STS-110,259
"Nowak, Lisa M.",1996,16,1,Former,Military,Female,5/10/1963,STS-121,306
"Pettit, Donald R.",1996,16,2,Current,Civilian,Male,4/20/1955,STS-113 and STS-126,4224
"Phillips, John L.",1996,16,3,Current,Civilian,Male,4/15/1951,"STS-100, Soyuz TMA-6 and STS-119",4872
"Polansky, Mark L.",1996,16,3,Current,Civilian,Male,6/2/1956,"STS-98, ST-116 and STS-127",993
"Richards, Paul W.",1996,16,1,Former,Civilian,Male,5/20/1964,STS-102,307
"Sellers, Piers J.",1996,16,3,Current,Civilian,Male,4/11/1955,"STS-112, STS-121 and STS-132",839
"Stefanyshyn-Piper, Heidemarie M.",1996,16,2,Former,Military,Female,2/7/1963,STS-115 and STS-126,648
"Tani, Daniel M.",1996,16,2,Current,Civilian,Male,2/1/1961,STS-108 and STS-120/ Exp 16/ STS-122,318
"Walheim, Rex J.",1996,16,2,Current,Military,Male,10/10/1962,STS-110 and STS-122,565
"Williams, Sunita L.",1998,17,1,Current,Military,Female,9/19/1965,STS-116,4680
"Woodward, Neil W., III",1998,17,0,Former,Military,Male,7/26/1962,,0
"Anderson, Clayton C.",1998,17,2,Current,Civilian,Male,2/23/1959,STS-117 and STS-131,4046
"Archambault, Lee J.",1998,17,2,Current,Military,Male,8/25/1960,STS-117 and STS-119,648
"Caldwell, Tracy E.",1998,17,2,Current,Civilian,Female,8/14/1969,STS-118 and Soyuz TMA-18,4529
"Chamitoff, Gregory E.",1998,17,3,Current,Civilian,Male,8/6/1962,"STS -124, Exp 17 and Exp 18", 
"Creamer, Timothy J.",1998,17,1,Current,Military,Male,11/15/1959,Soyuz TMA-17,3912
"Ferguson, Christopher J.",1998,17,2,Current,Military,Male,9/1/1961,STS-115 and STS-126,672
"Foreman, Michael J.",1998,17,2,Current,Military,Male,3/29/1957,STS-123 and STS-129,637
"Fossum, Michael E.",1998,17,2,Current,Civilian,Male,12/19/1957,STS-121 and STS-124,636
"Ham, Kenneth T.",1998,17,2,Current,Military,Male,12/12/1964,STS-124 and STS-132,612
"Johnson, Gregory C.",1998,17,1,Management,Civilian,Male,7/30/1954,STS-125,309
"Johnson, Gregory H.",1998,17,1,Current,Military,Male,5/12/1962,STS-123,378
"Love, Stanley G.",1998,17,1,Current,Civilian,Male,6/8/1965,STS-122,306
"Melvin, Leland D.",1998,17,2,Management,Civilian,Male,2/15/1964,STS-122 and STS-129,565
"Morgan, Barbara R.",1998,17,1,Former,Civilian,Female,11/28/1951,STS-118,305
"Oefelein, William A.",1998,17,1,Former,Military,Male,3/29/1965,STS-116,308
"Olivas, John D.",1998,17,2,Former,Civilian,Male,5/25/1966,STS-117 and STS-128,668
"Patrick, Nicholas J. M.",1998,17,2,Current,Civilian,Male,3/22/1964,STS-116 and STS-130,638
"Poindexter, Alan G.",1998,17,2,Former,Military,Male,11/5/1961,STS-122 and STS-131,669
"Reisman, Garrett E.",1998,17,2,Former,Civilian,Male,2/10/1968,STS-123 and STS-132,2473
"Robertson, Patricia Hilliard",1998,17,0,Deceased,Civilian,Female,3/12/1963,,0
"Swanson, Steven R.",1998,17,2,Current,Civilian,Male,12/3/1960,STS-117 and STS-119,643
"Wheelock, Douglas H.",1998,17,2,Current,Military,Male,5/5/1960,STS-120 and Exp 25,4272
"Zamka, George D.",1998,17,2,Current,Military,Male,6/29/1962,STS-120 and STS-130,692
"Wilmore, Barry E.",2000,18,1,Current,Military,Male,12/29/1962,STS-129,259
"Antonelli, Dominic A.",2000,18,2,Current,Military,Male,8/23/1967,STS-119  and STS-132,579
"Barratt, Michael R.",2000,18,2,Current,Civilian,Male,4/16/1959,"Soyuz TMA-14, STS-133",5085
"Behnken, Robert L.",2000,18,2,Current,Military,Male,7/28/1970,STS-123 and STS-130,708
"Boe, Eric A.",2000,18,0,Current,Military,Male,10/1/1964,STS-126 and STS-133,672
"Bowen, Stephen G.",2000,18,3,Current,Military,Male,2/13/1964,"STS-126, STS-132 and STS-133",970
"Drew, Alvin B.",2000,18,2,Current,Military,Male,11/5/1962,STS-118 and STS-133,612
"Feustel, Andrew J.",2000,18,2,Current,Civilian,Male,8/25/1965,STS-125 and STS-134,687
"Ford, Kevin A.",2000,18,1,Current,Military,Male,7/7/1960,STS-128,333
"Garan, Ronald J., Jr.",2000,18,0,Current,Military,Male,10/20/1961,STS-124,330
"Good, Michael T.",2000,18,2,Current,Military,Male,10/13/1962,STS-125 and STS-132,600
"Hurley, Douglas G.",2000,18,1,Current,Military,Male,10/21/1966,STS-127,376
"Kopra, Timothy L.",2000,18,1,Current,Military,Male,4/9/1963,STS-127,1464
"McArthur, K. Megan",2000,18,1,Current,Civilian,Female,8/30/1971,STS-125,309
"Nyberg, Karen L.",2000,18,1,Current,Civilian,Female,10/7/1969,STS-124,330
"Stott, Nicole P.",2000,18,2,Current,Civilian,Female,11/19/1962,STS-128 and STS-133,2491
"Virts, Terry W., Jr.",2000,18,1,Current,Military,Male,12/1/1967,STS-130,330
"Acaba, Joseph M.",2004,19,1,Current,Civilian,Male,5/17/1967,STS-119,307
"Arnold, Richard R., II",2004,19,0,Current,Civilian,Male,11/26/1963,STS-119,307
"Bresnik, Randolph J.",2004,19,1,Current,Military,Male,9/11/1967,STS-129,259
"Cassidy, Christopher J.",2004,19,1,Candidate,Military,Male,1/4/1970,STS-127,376
"Dutton, James P.",2004,19,0,Candidate,Military,Male,11/20/1968,STS-131,362
"Hernandez, Jose M.",2004,19,1,Former,Civilian,Male,8/7/1962,STS-128,332
"Kimbrough, Robert S.",2004,19,1,Current,Military,Male,6/4/1967,STS-126,380
"Marshburn, Thomas H.",2004,19,1,Current,Military,Male,8/29/1960,STS-127,376
"Metcalf-Lindenburger, Dorothy M.",2004,19,1,Current,Civilian,Female,5/2/1975,STS-131,362
"Satcher, Robert L.",2004,19,1,Current,Civilian,Male,9/22/1965,STS-129,259
"Walker, Shannon",2004,19,,Current,Civilian,Female,6/4/1965,, 
"Aunon, Serena M.",2009,20,0,Current,Civilian,Female,4/9/1976,,0
"Epps, Jeanette J.",2009,20,0,Candidate,Civilian,Female,11/2/1970,,0
"Fischer, Jack D.",2009,20,0,Candidate,Military,Male,1/23/1974,,0
"Hansen, Jeremy",2009,20,0,Candidate,,Male,1/27/1976,,0
"Hopkins, Michael S.",2009,20,0,Candidate,Military,Male,12/28/1968,,0
"Kanai, Norishige",2009,20,0,Candidate,Civilian,Male,1976,,0
"Lindgren, Kjell N.",2009,20,0,Candidate,Military,Male,1/23/1973,,0
"Onishi, Tayuka",2009,20,0,Candidate,Civilian,Male,1975,,0
"Rubins, Kathleen",2009,20,0,Candidate,Civilian,Female,10/14/1978,,0
"Saint-Jacques, David",2009,20,0,Candidate,Civilian,Male,1/6/1970,,0
"Tingle, Scott D.",2009,20,0,Candidate,Military,Male,7/19/1965,,0
"Vande Hei, Mark T.",2009,20,0,Candidate,Military,Male,11/10/1966,,0
"Wiseman, Gregory R.",2009,20,0,Candidate,Civilian,Male,11/11/1975,,0
"Yui, Kimiya",2009,20,0,Candidate,,Male,1970,,
